Finance Companies
WFC,JPM,BAC,HSBC,C,GS,LYG,AXP,MS

Healthcare Companies
JNJ,NVS,PFE,MRK,UNH,CVS,AGN

Tech Companies
AAPL,GOOG,MSFT,FB,ORCL,INTC,IBM,CSCO,TSM,QCOM

Transportation Comapnies
UPS,UNP,CNI,DAL,FDX,LUV,AAL,CSX

Energy Companies
GE,XOM,PTR,TOT,BP,EOG,SU

Capital Goods Companies
TM,BA,UTX,HON,LMT

Consumer Services Companies
AMZN,WMT,DIS,HD,CMCSA

Biotech Companies
AMRN,MNKD,ILMN,ARNA,AMGN
